status_node
"(13, 1)"
"(13, 199)"
"(8, 199)"
"(8, 392)"
"(8, 1)"
"(14, 1)"
"(46, 449)"
"(46, 1)"
"(14, 526)"
"(7, 1)"
"(10, 1)"
"(12, 1)"
"(6, 1)"
"(6, 247)"
"(14, 247)"
"(8, 223)"
"(7, 277)"
"(8, 471)"
"(7, 275)"
"(45, 1)"
"(41, 1)"
"(6, 133)"
"(7, 385)"
"(28, 168)"
"(28, 1)"
"(25, 1)"
"(44, 147)"
"(44, 1)"
"(8, 588)"
"(14, 588)"
"(10, 482)"
"(10, 195)"
"(46, 363)"
"(7, 578)"
"(39, 360)"
"(39, 1)"
"(45, 387)"
"(10, 196)"
"(11, 212)"
"(11, 1)"
"(10, 285)"
"(10, 364)"
"(28, 330)"
"(13, 515)"
"(25, 605)"
"(12, 36)"
"(10, 300)"
"(10, 375)"
"(6, 6)"
"(6, 7)"
"(5, 7)"
"(5, 1)"
"(8, 597)"
"(6, 371)"
"(44, 601)"
"(14, 478)"
"(14, 528)"
"(8, 578)"
"(16, 46)"
"(16, 244)"
"(16, 1)"
"(8, 526)"
"(42, 350)"
"(42, 1)"
"(10, 347)"
"(15, 145)"
"(15, 1)"
"(14, 606)"
"(41, 473)"
"(15, 494)"
"(15, 132)"
"(17, 215)"
"(17, 1)"
"(5, 588)"
"(39, 416)"
"(5, 49)"
"(8, 254)"
"(40, 183)"
"(40, 1)"
"(8, 515)"
"(13, 275)"
"(46, 542)"
"(6, 588)"
"(38, 137)"
"(38, 1)"
"(6, 526)"
"(14, 597)"
"(6, 568)"
"(9, 49)"
"(9, 1)"
"(3, 1)"
"(8, 240)"
"(42, 335)"
"(14, 6)"
"(6, 528)"
"(12, 28)"
"(8, 247)"
"(8, 13)"
"(10, 459)"
"(15, 141)"
"(13, 193)"
"(13, 526)"
"(7, 471)"
"(5, 471)"
"(28, 469)"
"(14, 133)"
"(6, 302)"
"(5, 247)"
"(13, 8)"
"(13, 588)"
"(8, 14)"
"(40, 126)"
"(5, 528)"
"(46, 489)"
"(46, 469)"
"(5, 526)"
"(5, 193)"
"(42, 351)"
"(38, 288)"
"(42, 343)"
"(30, 234)"
"(30, 1)"
"(42, 326)"
"(38, 26)"
"(11, 603)"
"(6, 606)"
"(41, 391)"
"(15, 519)"
"(11, 577)"
"(16, 492)"
"(11, 21)"
"(30, 523)"
"(45, 193)"
"(6, 49)"
"(14, 476)"
"(30, 595)"
"(11, 258)"
"(14, 471)"
"(30, 340)"
"(24, 495)"
"(24, 1)"
"(3, 36)"
"(14, 49)"
"(15, 214)"
"(15, 149)"
"(44, 295)"
"(7, 91)"
"(42, 146)"
"(14, 20)"
"(8, 528)"
"(6, 471)"
"(28, 495)"
"(41, 338)"
"(14, 576)"
"(46, 522)"
"(9, 13)"
"(14, 568)"
"(7, 468)"
"(42, 152)"
"(6, 193)"
"(8, 193)"
"(7, 358)"
"(5, 358)"
"(7, 597)"
"(45, 207)"
"(15, 299)"
"(5, 223)"
"(5, 254)"
"(24, 168)"
"(38, 153)"
"(15, 42)"
"(17, 491)"
"(13, 19)"
"(14, 371)"
"(43, 305)"
"(43, 1)"
"(40, 547)"
"(5, 133)"
"(8, 133)"
"(8, 371)"
"(38, 124)"
"(14, 408)"
"(30, 142)"
"(26, 207)"
"(26, 68)"
"(30, 535)"
"(10, 293)"
"(42, 339)"
"(14, 182)"
"(8, 385)"
"(15, 410)"
"(6, 8)"
"(38, 310)"
"(10, 360)"
"(30, 402)"
"(30, 245)"
"(22, 57)"
"(22, 1)"
"(22, 247)"
"(8, 8)"
"(26, 401)"
"(15, 127)"
"(15, 401)"
"(26, 424)"
"(15, 424)"
"(5, 199)"
"(46, 168)"
"(26, 1)"
"(25, 488)"
"(14, 240)"
"(28, 89)"
"(24, 89)"
"(30, 290)"
"(30, 465)"
